symbol,date,title,description,url
TIO,2023-03-28 19:25:38+00:00,Wennerholm: Heroisk insats av Luleå i sjunde matchen,Växjö vinner match sju med 2-1 mot Luleå och är vidare till semifinal. Och på något sätt känns det rätt att seriesegrarn,https://www.aftonbladet.se/sportbladet/hockey/a/l3r0P9/heroisk-insats-av-lulea-men-ratt-att-vaxjo-gick-till-semifina
TIO,2023-03-28 19:20:15+00:00,Fãs pedem justiça após Ludmilla perder processo por injúria racial,"Em janeiro de 2017, Marcão do Povo usou o termo ""macaca"" para falar de Ludmilla. Cantora vai recorrer da decisão judicial
The post Fãs pedem justiça após Ludmilla perder processo por injúria racial first appeared on Metrópoles.",https://www.metropoles.com/celebridades/fas-pedem-justica-apos-ludmilla-perder-processo-por-injuria-racial
TIO,2023-03-29 23:35:34+00:00,Tarantino: Manuset till min sista film är färdigt,Den amerikanske regissören Quentin Tarantino räknar med att börja inspelningen av sin tionde långfilm i höst. – Jag är k,https://www.aftonbladet.se/nojesbladet/film/a/wAV2po/tarantinos-sista-manus-fardigt
TIO,2023-03-29 23:24:51+00:00,Turma da Mônica Jovem: Vídeo com elenco é divulgado após polêmica,"Após a controvérsia gerada pela escolha do elenco do filme da ""Turma da Mônica Jovem"", a Imagem ...","https://www.terra.com.br/diversao/entre-telas/filmes/turma-da-monica-jovem-video-com-elenco-e-divulgado-apos-polemica,265f78dc1d7547de86d290267718dae4qlsl959d.html"
TIO,2023-03-29 23:15:52+00:00,Turma da Mônica Jovem: Vídeo com elenco e sinopse do filme são divulgados após polêmica,"Após a controvérsia gerada pela escolha do elenco do filme da ""Turma da Mônica Jovem"", a Imagem ...","https://www.terra.com.br/diversao/entre-telas/filmes/turma-da-monica-jovem-video-com-elenco-e-sinopse-do-filme-sao-divulgados-apos-polemica,265f78dc1d7547de86d290267718dae4qlsl959d.html"
TIO,2023-03-30 22:58:53+00:00,Karin Eriksson: En förnedrande stund för expresidenten,Åtalet mot Trump är historiskt. Kan gynna hans presidentkampanj. Men de intima detaljerna om det påstådda sexmötet och gripandet blir förnedrande för Trump.,https://www.dn.se/varlden/karin-eriksson-en-fornedrande-stund-for-donald-trump/
TIO,2023-03-30 22:54:19+00:00,Problemas no Limoeiro: fãs criticam escolha de elenco do filme 'Turma da Mônica Jovem',"As gravações do filme Turma da Mônica Jovem: Reflexos do Medo  começaram nesta quinta-feira, 30, ...","https://www.terra.com.br/diversao/gente/problemas-no-limoeiro-fas-criticam-escolha-de-elenco-do-filme-turma-da-monica-jovem,7330751ddcf60cf95472420a7aa19863znk2giar.html"
TIO,2023-03-30 22:16:52+00:00,Kvinna varnad – var naken i omklädningsrum,"Nada Pantle fick ett varningsbrev från klubben hon är medlem i. Orsaken: Hon hade varit naken i omklädningsrummets dusch. – Vid något tillfälle måste man klä av sig för att byta om. Det är därför vi har omklädningsrum, säger Nada till ABC .",https://www.expressen.se/nyheter/kvinna-varnad-var-naken-i-omkladningsrum/
TIO,2023-03-31 22:00:42+00:00,"’Sov inte, började att dricka ensam’","Lucas Pouille, 29, försvann från den stora scenen. Nu öppnar den tidigare världstian upp om sin depression. – Jag sov ba",https://www.aftonbladet.se/sportbladet/a/pQVz96/oppnar-upp-om-depressionen-drack-ensam
TIO,2023-03-31 19:55:00+00:00,Lançamentos da Netflix na semana (31/03/2023),"O longo e interminável mês de março finalmente ficou para trás, mas se despediu de nós com algumas novidades muito boas na Netflix. A última semana foi repleta de grandes estreias no streaming, principalmente para quem curte bons filmes. <ul> <li>7 ótimas sér…",https://canaltech.com.br/entretenimento/netflix-lancamentos-semana-31032023/
TIO,2023-03-31 19:18:13+00:00,Kvinnan hittades död i en frysbox – fortfarande oklart om hon mördades,Den 56-årige mannen berättade att hans sambo låg död i en frysbox i deras hem. Kvinnan kan ha legat där i nära fem års t,https://www.aftonbladet.se/nyheter/a/MoaVno/kvinnan-hittades-dod-i-en-frysbox-fortfarande-oklart-om-hon-mordades
TIO,2023-04-01 20:51:51+00:00,Barcelonas överkörning – stormar mot ligatiteln,Barcelona stormar mot ligatiteln. Robert Lewandowski ser ut att bli skyttekung. Efter att ha krossat Elche med 4-0 har Barça nu 15 poäng ner till Real Madrid på andra plats.,https://www.expressen.se/sport/fotboll/barcelonas-overkorning-stormar-mot-ligatiteln/
TIO,2023-04-01 18:32:49+00:00,Trots framgångarna – oklar framtid för Marin,De finska socialdemokraterna ser ut att få fler röster än förra valet. Ändå är det inte säkert att Sanna Marin sitter kvar som statsminister efter valet.,https://www.dn.se/varlden/vill-sanna-marin-verkligen-fortsatta-som-statsminister/
TIO,2023-04-01 18:30:08+00:00,Chelsea nollat – Potter hånades,Det fortsätter att gå emot för Chelsea. Graham Potters lag nollades av Aston Villa. Efter 2–0-förlusten hånades tränaren,https://www.aftonbladet.se/sportbladet/fotboll/a/BWzOrE/premier-league-chelsea-nollade-av-aston-villa
TIO,2023-04-02 22:11:57+00:00,Uthyrning av elsparkcyklar stoppas i Paris – nio av tio röstade för ett förbud,90 procent röstade för att stoppa uthyrning av elsparkcyklar i Paris,https://www.dn.se/varlden/uthyrning-av-elsparkcyklar-stoppas-i-paris-nio-av-tio-rostade-for-ett-forbud/
TIO,2023-04-02 21:52:08+00:00,"Último dia para assistir: inspirado na história de Malala Yousafzai, filme na Netflix vai te chocar e emocionar","“O Diário do Pescador” parece o registro de outro mundo — e talvez seja mesmo. É difícil, é torturante acreditar que a civilização não tenha chegado a todas as terras do globo em pleno século 21; pior ainda é ter de admitir que essa é uma realidade que demand…",https://www.revistabula.com/60346-ultimo-dia-para-assistir-inspirado-na-historia-de-malala-yousafzai-filme-na-netflix-vai-te-chocar-e-emocionar/
TIO,2023-04-02 21:17:15+00:00,Fleecetröjor avslöjade misstänkta mördarna,"När 19-åringen lämnade föreningslokalen i Norsborg sköts han ihjäl med tio skott. Vid den övergivna flyktbilen hittade en polishund två fleecetröjor, som ledde fram till de misstänkta mördarna. Nu åtalas tre män för mord, som åklagaren kopplar till en gängkon…",https://www.expressen.se/nyheter/krim/fleecetrojor-avslojade--misstankta-mordarna/
TIO,2023-04-03 20:23:43+00:00,Jonathan Pudas: ”Vi blir det fjärde laget att göra det”,"ÖREBRO. Tre gånger av 71 möjliga har det inträffat att något lag vänt ett 2-0-underläge till seger i en matchserie. Nu har Skellefteå AIK hamnat i ett högst prekärt läge i sin matchserie mot Örebro. – Det blir en ruggig press på Örebro då, för vi kommer göra …",https://www.expressen.se/sport/hockey/shl/jonathan-pudas-vi-blir-det-fjarde-laget-att-gora-det/
TIO,2023-04-03 20:01:56+00:00,"Besouro Azul conhece Batman, mas maior conexão do personagem com o Universo da DC permanece um mistério","No trailer, tio do herói chega a dizer que ""Batman é um fascista!"", mas qual será real importância do filme para o futuro da DC nos cinemas?",https://br.ign.com/besouro-azul/107495/feature/besouro-azul-conhece-batman-mas-maior-conexao-do-personagem-com-o-universo-da-dc-permanece-um-mister
TIO,2023-04-03 19:24:00+00:00,"Walter, Rosalía e Peregrina, autores das mellores empanadas de Merexo",O Abaladoiro | A asociación de veciños Monte da Urxeira promoveu o pasado sábado un curioso certame de empanadas de rodaballo,https://www.lavozdegalicia.es/noticia/carballo/muxia/2023/04/04/span-langglwalter-rosalia-peregrina-autores-das-mellores-empanadas-merexospan/0003_202304C4C8991.htm
TIO,2023-04-04 23:40:25+00:00,10 Aranhas que mais queremos ver em Através do Aranhaverso,"Um novo trailer de Através do Aranhaverso foi revelado, destacando diversas variantes do Homem-Aranha já conhecidas pelos fãs da Marvel.",https://ovicio.com.br/10-aranhas-que-mais-queremos-ver-em-atraves-do-aranhaverso/
TIO,2023-04-04 23:34:43+00:00,Bruna Marquezine cai no choro com o trailer de 'Besouro Azul',A atriz compartilhou um vídeo mostrando a sua reação com as primeiras imagens do vídeo,https://gente.ig.com.br/celebridades/2023-04-04/bruna-marquezine-emocao-trailer-besouro-azul.html
TIO,2023-04-04 22:38:20+00:00,Åtalet mot Trump: Två kvinnor och en man fick hyschpengar,En porrstjärna sa att hon och Donald Trump haft en affär. En Playboymodell sa samma sak. Och en dörrvakt spred ett rykte,https://www.aftonbladet.se/nyheter/a/0Qb4vJ/atalet-mot-trump-porrstjarnan-playboymodellen-och-dorrvakt-fick-pengar
