symbol,date,title,description,url
LIND,2023-03-27 14:00:00+00:00,Nic Cage's Campy Dracula Stalks New Prey in Renfield,"There really is so much good SFF happening right now, it’s kind of wild. Renfield is looking to be a campy, Raimi-esque comedy gorefest, The Power reflects modern inequities through a sci-fi reversal, and... oh, well, I guess Joker 2 is still happening. But t…",https://gizmodo.com/nic-cage-renfield-dracula-joker-2-the-walking-dead-1850266143
LIND,2023-03-27 13:10:27+00:00,Insändare. ”Bedrövlig svengelska av Språkrådets blivande chef”,"Christina Johansson, lärare och bibliotekarie: Efter att ha fått hård kritik för att vilja se en dom-reform bör Lena Lind Palicki vårda det svenska språket.",https://www.dn.se/insandare/bedrovlig-svengelska-av-sprakradets-blivande-chef/
LIND,2023-03-28 19:51:23+00:00,Meatball from long-extinct mammoth created by food firm,"Exclusive: Australian company resurrects flesh of lost species to demonstrate potential of meat grown from cells A mammoth meatball has been created by a cultivated meat company, resurrecting the flesh of the long-extinct animals. The project aims to demonstr…",https://freerepublic.com/focus/f-chat/4141514/posts
LIND,2023-03-28 19:16:01+00:00,Fries With That Mammoth Burger?,"This story was originally published by the Guardian and is reproduced here as part of the Climate Desk collaboration. A mammoth meatball has been created by a cultivated meat company, resurrecting the flesh of the long-extinct animals. The project aims to dem…",https://www.motherjones.com/environment/2023/03/mammoth-burger-meatball-extinct-vow-cultivated-meat-climate-methane/
LIND,2023-03-28 18:59:28+00:00,Ansatte fastholder krav om bonus på halv millard,"Medarbejdere fra Energi Danmark holder fast i, at de har ret til de enorme bonusser, de har optjent.",https://nyheder.tv2.dk/business/2023-03-28-ansatte-vil-ikke-opgive-bonus-pa-halv-millard
LIND,2023-03-29 23:21:00+00:00,"PaxMedica, Inc. Provides Business Update and Reports Fourth Quarter 2022 Financial Results",-Phase 3 Results for HAT-301 Retrospective Trial Expected in Second Half 2023-        Fourth Quarter 2022 Highlights       Initiated Phase 3 Clinical......,https://www.globenewswire.com/news-release/2023/03/29/2637225/0/en/PaxMedica-Inc-Provides-Business-Update-and-Reports-Fourth-Quarter-2022-Financial-Results.html
LIND,2023-03-29 23:21:00+00:00,"PaxMedica, Inc. Provides Business Update and Reports Fourth Quarter 2022 Financial Results",-Phase 3 Results for HAT-301 Retrospective Trial Expected in Second Half 2023- Fourth Quarter 2022 Highlights Initiated Phase 3 Clinical Program to Advance...,https://finance.yahoo.com/news/paxmedica-inc-provides-business-reports-232100202.html
LIND,2023-03-29 20:00:48+00:00,Startar utgreiing av akutt- og fødetilbod,Styremøtet i Helse Nord RHF vedtok i dag å gå i gang med utgreiinga om omstilling av akutt- og fødeeiningar i Nord-Noreg. Det skriv avisa Fremover. I november fekk Helse Nord RHF oppdrag frå Helse- og omsorgsdepartementet om å vurdere endringar i funksjon- og…,https://www.nrk.no/nordland/startar-utgreiing-av-akutt--og-fodetilbod-1.16357711
LIND,2023-03-30 20:38:57+00:00,This Massive Meatball Was Made With Woolly Mammoth DNA,"Meant to be more sustainable than animal meat, this lab-grown alternative might offer a glimpse into the future of food production",https://www.smithsonianmag.com/smart-news/this-massive-meatball-was-made-with-woolly-mammoth-dna-180981908/
LIND,2023-03-30 16:00:00+00:00,Cientistas criam almôndega de carne de mamute,Os genes do mamute-lanoso são a base para a criação de uma almôndega produzida em laboratório. O objetivo é demonstrar o potencial da carne feita através de células animais.,https://www.tsf.pt/mundo/cientistas-criam-almondega-de-carne-de-mamute-16092790.html
LIND,2023-03-30 15:10:44+00:00,Insändare. Noterat av DN:s läsare den 30 mars,Dagens Nyheters läsare ger kortfattat sin syn på läget i Sverige och världen samt DN:s innehåll torsdagen den 30 mars 2023.,https://www.dn.se/insandare/noterat-av-dns-lasare-den-30-mars/
LIND,2023-03-31 16:19:03+00:00,OXE MARINE AB (PUBL) CONVENING NOTICE FOR ANNUAL GENERAL MEETING,"(marketscreener.com) 

ÄNGELHOLM, Sweden, March 31, 2023 /PRNewswire/ -- The shareholders in OXE Marine AB org.nr 556889-7226 , are convened to the Annual General Meeting of shareholders to be held on May 2, 2023 at 14:00 at på Hotell Erikslund, Åstorpsvägen …",https://www.marketscreener.com/quote/stock/OXE-MARINE-AB-PUBL-120796814/news/OXE-MARINE-AB-PUBL-CONVENING-NOTICE-FOR-ANNUAL-GENERAL-MEETING-43395446/?utm_medium=RSS&utm_content=20230331
LIND,2023-03-31 16:17:00+00:00,OXE MARINE AB (PUBL) CONVENING NOTICE FOR ANNUAL GENERAL MEETING,"ÄNGELHOLM, Sweden, March 31, 2023 /PRNewswire/ -- The shareholders in OXE Marine AB (publ) org.nr 556889-7226 (""Bolaget""), are convened to the Annual General Meeting of shareholders to be held on May 2, 2023 at 14:00 at på Hotell Erikslund, Åstorpsvägen 15, 2…",https://www.prnewswire.com/news-releases/oxe-marine-ab-publ-convening-notice-for-annual-general-meeting-301787238.html
LIND,2023-03-31 16:17:00+00:00,OXE MARINE AB (PUBL) CONVENING NOTICE FOR ANNUAL GENERAL MEETING,"The shareholders in OXE Marine AB (publ) org.nr 556889-7226 (""Bolaget""), are convened to the Annual General Meeting of shareholders to be held on May 2, 2023...",https://finance.yahoo.com/news/oxe-marine-ab-publ-convening-161700554.html
LIND,2023-04-01 21:00:00+00:00,The hot girl walk makes walking cool again,A viral TikTok has helped reignite the image of walking for good.,https://www.nzherald.co.nz/lifestyle/the-hot-girl-walk-is-making-walking-cool-again/YZ653BPSDNHINONSF3GFFPOFDA/
LIND,2023-04-01 18:25:22+00:00,Farlig djurparasit hittad i Borlänge,,https://www.dn.se/sverige/farlig-djurparasit-hittad-i-borlange/
LIND,2023-04-01 18:16:09+00:00,Farlig djurparasit hittad i Borlänge,Ett fall av den farliga och ovanliga parasiten ”rävens dvärgbandmask” har upptäckts i Dalarna. Parasiten kan orsaka allv,https://www.aftonbladet.se/nyheter/a/rlVov3/ovanlig-djurparasit-hittad-i-borlange
LIND,2023-04-02 15:19:10+00:00,Victor Linds första mål – räddade poäng till Norrköping,,https://www.dn.se/sport/victor-linds-forsta-mal-raddade-poang-till-norrkoping/
LIND,2023-04-02 15:09:43+00:00,Stjärnan utbytt skadad när IFK Norrköping kryssade mot Sirius,Jacob Ortmark skadad och underläge i paus.  Men IFK Norrköping kom tillbaka och räddade en poäng mot Sirius.  – Vi gör e,https://www.aftonbladet.se/sportbladet/fotboll/a/GM5o04/jacob-ortmark-skadad-nar-ifk-norrkoping-kryssade-mot-sirius
LIND,2023-04-02 15:00:04+00:00,19-åringen räddade en poäng till Norrköping mot Sirius,De hade aldrig tidigare gjort mål i allsvenskan.När Norrköping mot Sirius var färdigspelad hade André Alsanati och Victor Stange Lind fått veta hur det känns.1–1 med andra ord.– Jag tycker att vi gör en okej match. Vi sa i pausen att vi skulle hålla oss till …,https://www.expressen.se/sport/fotboll/allsvenskan/19-aringen-raddade-en-poang-till-norrkoping-mot-sirius/
LIND,2023-04-03 20:59:00+00:00,Kvinde faldt ud over klint: Sætter afspærringer op efter dødsfald,"Kvinden blev hentet med redningshelikopter og fløjet i retning mod Rigshospitalet, men kort tid efter blev hun erklæret død.",https://www.bt.dk/samfund/kvinde-faldt-ud-over-klint-saetter-afspaerringer-op-efter-doedsfald
LIND,2023-04-03 17:11:00+00:00,Advokat til de tre fyrede: 'En usaglig afskedigelse',Nu taler advokaten til de tre fyrede hos Energi Danmark.,https://www.bt.dk/samfund/advokat-til-de-tre-fyrede-en-usaglig-afskedigelse
LIND,2023-04-03 11:52:02+00:00,Ulf Lundell om debatten: Löjlig,Debatten om ordet ”dom” ska ersätta ”de och ”dem” i svenska språket har blossat upp sedan Lena Lind Palicki presenterade,https://www.aftonbladet.se/nojesbladet/a/wAV76G/ulf-lundell-om-dom-debatten-lojlig
LIND,2023-04-04 23:37:09+00:00,8 Personal Finance Tips for Gen Z From Millennials,"Gen Z has come into the world of ""adulting"" at a difficult time. We're still rising out of a global pandemic, banks are collapsing, layoffs run rampant and...",https://finance.yahoo.com/news/8-personal-finance-tips-gen-233709181.html
LIND,2023-04-04 22:02:44+00:00,Pesquisadores fazem “almôndega de mamute” com DNA do animal extinto,"O mamute-lanoso foi extinto há 4 mil anos. Mas isso não impediu os cientistas de fazer, em laboratório, uma amostra de sua carne.",https://super.abril.com.br/ciencia/pesquisadores-fazem-almondega-de-mamute-com-dna-do-animal-extinto/
LIND,2023-04-04 20:56:46+00:00,Hennebont sacré en Coupe d'Europe après sa victoire face à Dzialdowo,"Hennebont a remporté la deuxième Coupe d'Europe de son histoire (C2) en s'imposant face au club polonais de Dzialdowo ce mardi soir (3-1), renversant leur défaite de vendredi (3-2).",https://www.lequipe.fr/Tennis-de-table/Actualites/Hennebont-sacre-en-coupe-d-europe-apres-sa-victoire-face-a-dzialdowo/1389807
LIND,2023-04-05 23:01:28+00:00,Panthers making a “color correction” to their uniforms for 2023,"The Panthers are joining the Cardinals in tweaking their uniforms for 2023, Andrew Lind of sportslogos.net reports.The Panthers’ primary home and road uniforms have changed little since their inaugural season of 1995, with a silver helmet and black jerseys wi…",https://profootballtalk.nbcsports.com/2023/04/05/panthers-making-a-color-correction-to-their-uniforms-for-2023/
LIND,2023-04-05 21:05:12+00:00,Report: Panthers to unveil new uniforms before 2023 NFL draft,"According to NFL reporter Adam Lind, the Panthers are expected to unveil a uniform redesign prior to the 2023 NFL draft—one that'll likely drop the silver from their color scheme.",https://pantherswire.usatoday.com/2023/04/05/panthers-to-unveil-new-uniforms-redesign-2023-nfl-draft/
LIND,2023-04-05 15:18:57+00:00,Musovic om målvaktskampen: ”Sticker snart ut tålamod ur pannan på mig”,Drygt 100 dagar återstår till fotbolls-VM. Då är en position i den svenska elvan just nu mer öppen än på många år. Zecira Musovic eller Jennifer Falk i mål?,https://www.dn.se/sport/musovic-om-malvaktskampen-sticker-snart-ut-talamod-ur-pannan-pa-mig/
LIND,2023-04-06 18:39:07+00:00,Mammoth meatball beef exposes foodtech’s patent problem,"A bitter feud has erupted over who first resurrected the woolly mammoth — as a meatball. The de-extinct delicacy was unveiled last week at Nemo Science Museum in the Netherlands. Naturally, no mammoths were harmed in the making of the product. In lieu of dead…",https://thenextweb.com/news/paleo-accuses-vow-of-copying-mammoth-meatball-invention
