Date,Open,High,Low,Close,Adj Close,Volume
2023-03-21,8.630000114440918,8.949999809265137,8.520000457763672,8.789999961853027,8.789999961853027,390200
2023-03-22,8.789999961853027,8.899999618530273,8.420000076293945,8.4399995803833,8.4399995803833,896100
2023-03-23,8.5,9.109999656677246,8.5,9.0600004196167,9.0600004196167,393500
2023-03-24,8.84000015258789,9.069999694824219,8.020000457763672,8.609999656677246,8.609999656677246,498200
2023-03-27,8.720000267028809,8.75,8.369999885559082,8.600000381469727,8.600000381469727,318100
2023-03-28,8.510000228881836,8.899999618530273,8.5,8.770000457763672,8.770000457763672,193400
2023-03-29,8.890000343322754,9.050000190734863,8.729999542236328,9.039999961853027,9.039999961853027,299100
2023-03-30,9.1899995803833,9.569999694824219,9.1899995803833,9.350000381469727,9.350000381469727,257400
2023-03-31,9.449999809265137,9.800000190734863,9.369999885559082,9.5600004196167,9.5600004196167,363600
2023-04-03,9.5600004196167,9.65999984741211,9.199999809265137,9.279999732971191,9.279999732971191,267600
2023-04-04,9.239999771118164,9.539999961853027,9.050000190734863,9.40999984741211,9.40999984741211,219200
2023-04-05,9.369999885559082,9.369999885559082,8.869999885559082,8.930000305175781,8.930000305175781,188200
2023-04-06,8.90999984741211,8.90999984741211,8.600000381469727,8.699999809265137,8.699999809265137,298600
2023-04-10,8.600000381469727,9.0600004196167,8.510000228881836,9.029999732971191,9.029999732971191,222000
2023-04-11,9.100000381469727,9.369999885559082,8.989999771118164,9.239999771118164,9.239999771118164,235900
2023-04-12,9.380000114440918,9.399999618530273,8.739999771118164,8.75,8.75,141900
2023-04-13,8.779999732971191,8.989999771118164,8.729999542236328,8.979999542236328,8.979999542236328,189100
2023-04-14,9.020000457763672,9.079999923706055,8.6899995803833,8.760000228881836,8.760000228881836,239700
