Date,Open,High,Low,Close,Adj Close,Volume
2023-03-21,0.8299999833106995,0.8759999871253967,0.8299999833106995,0.8650000095367432,0.8650000095367432,107000
2023-03-22,0.8550000190734863,0.8610000014305115,0.8299999833106995,0.8349999785423279,0.8349999785423279,131400
2023-03-23,0.8399999737739563,0.8500000238418579,0.8149999976158142,0.8320000171661377,0.8320000171661377,148500
2023-03-24,0.8040000200271606,0.8349999785423279,0.7860000133514404,0.7900000214576721,0.7900000214576721,229900
2023-03-27,0.7950000166893005,0.8240000009536743,0.7950000166893005,0.8100000023841858,0.8100000023841858,220100
2023-03-28,0.8109999895095825,0.9200000166893005,0.8050000071525574,0.8999999761581421,0.8999999761581421,374800
2023-03-29,0.9300000071525574,1.0800000429153442,0.9300000071525574,1.0399999618530273,1.0399999618530273,718000
2023-03-30,1.090000033378601,1.1399999856948853,1.0700000524520874,1.1299999952316284,1.1299999952316284,865200
2023-03-31,1.1299999952316284,1.1299999952316284,0.9399999976158142,1.0499999523162842,1.0499999523162842,1209000
2023-04-03,1.0499999523162842,1.090000033378601,1.0299999713897705,1.0700000524520874,1.0700000524520874,269400
2023-04-04,1.059999942779541,1.100000023841858,1.059999942779541,1.0950000286102295,1.0950000286102295,446700
2023-04-05,1.090000033378601,1.1299999952316284,1.0199999809265137,1.1299999952316284,1.1299999952316284,621400
2023-04-06,1.1299999952316284,1.25,1.1119999885559082,1.2100000381469727,1.2100000381469727,1685900
2023-04-10,1.2000000476837158,1.2999999523162842,1.1619999408721924,1.2999999523162842,1.2999999523162842,1235600
2023-04-11,1.2899999618530273,1.4199999570846558,1.2699999809265137,1.3799999952316284,1.3799999952316284,1994100
2023-04-12,1.4199999570846558,1.4299999475479126,1.149999976158142,1.190000057220459,1.190000057220459,2162400
2023-04-13,1.2100000381469727,1.4500000476837158,1.2100000381469727,1.4199999570846558,1.4199999570846558,2507100
2023-04-14,1.4199999570846558,1.649999976158142,1.409999966621399,1.600000023841858,1.600000023841858,3464300
