base,493.54,1.0513,68.6
swish,475.93,0.8630,75.2
batchnorm,495.14,1.0456,71.4
schedule,483.53,0.7786,77.1
adamw,502.00,0.8830,74.7
dropout,509.90,1.0075,73.0
